EP_train_inference:0:  20%|| 310/1563 [27:31<1:47:36,  5.15s/it]
avg_loss: 3.990844249725342, avg_ce_loss: 2.1353421211242676, avg_contrast_loss: 1.8555021286010742
avg_loss: 4.080322265625, avg_ce_loss: 2.1834774017333984, avg_contrast_loss: 1.8968448638916016
avg_loss: 4.12005615234375, avg_ce_loss: 2.2045578956604004, avg_contrast_loss: 1.9154984951019287
avg_loss: 4.061712741851807, avg_ce_loss: 2.175509452819824, avg_contrast_loss: 1.8862031698226929
avg_loss: 4.030692100524902, avg_ce_loss: 2.156970739364624, avg_contrast_loss: 1.8737213611602783
avg_loss: 3.990708827972412, avg_ce_loss: 2.135767936706543, avg_contrast_loss: 1.8549407720565796
avg_loss: 3.960016965866089, avg_ce_loss: 2.119832992553711, avg_contrast_loss: 1.8401845693588257
avg_loss: 4.049351692199707, avg_ce_loss: 2.1675021648406982, avg_contrast_loss: 1.881850004196167
avg_loss: 4.049106121063232, avg_ce_loss: 2.167208671569824, avg_contrast_loss: 1.8818973302841187
avg_loss: 4.023073196411133, avg_ce_loss: 2.15371036529541, avg_contrast_loss: 1.8693628311157227
avg_loss: 4.03126335144043, avg_ce_loss: 2.1577954292297363, avg_contrast_loss: 1.8734681606292725
avg_loss: 4.057027816772461, avg_ce_loss: 2.171081066131592, avg_contrast_loss: 1.8859469890594482
avg_loss: 4.0435051918029785, avg_ce_loss: 2.163875102996826, avg_contrast_loss: 1.8796299695968628
avg_loss: 4.00765323638916, avg_ce_loss: 2.1446750164031982, avg_contrast_loss: 1.862978219985962
avg_loss: 3.976560592651367, avg_ce_loss: 2.128200054168701, avg_contrast_loss: 1.848360538482666
avg_loss: 3.991856098175049, avg_ce_loss: 2.136362075805664, avg_contrast_loss: 1.8554939031600952
avg_loss: 4.0398478507995605, avg_ce_loss: 2.1619081497192383, avg_contrast_loss: 1.8779395818710327
avg_loss: 3.985626220703125, avg_ce_loss: 2.132870674133301, avg_contrast_loss: 1.8527559041976929
avg_loss: 4.0353922843933105, avg_ce_loss: 2.1593923568725586, avg_contrast_loss: 1.8759994506835938
avg_loss: 4.05035924911499, avg_ce_loss: 2.168215274810791, avg_contrast_loss: 1.8821438550949097
avg_loss: 4.128244400024414, avg_ce_loss: 2.210789918899536, avg_contrast_loss: 1.917454481124878
avg_loss: 4.123196601867676, avg_ce_loss: 2.2080063819885254, avg_contrast_loss: 1.9151897430419922
avg_loss: 4.044437408447266, avg_ce_loss: 2.164257049560547, avg_contrast_loss: 1.8801801204681396
avg_loss: 4.039697647094727, avg_ce_loss: 2.161921501159668, avg_contrast_loss: 1.8777761459350586
avg_loss: 4.089115142822266, avg_ce_loss: 2.1885271072387695, avg_contrast_loss: 1.9005883932113647
avg_loss: 3.9828624725341797, avg_ce_loss: 2.131211996078491, avg_contrast_loss: 1.8516502380371094
avg_loss: 4.1274542808532715, avg_ce_loss: 2.207345724105835, avg_contrast_loss: 1.9201087951660156
avg_loss: 4.035220146179199, avg_ce_loss: 2.1592602729797363, avg_contrast_loss: 1.8759597539901733
avg_loss: 4.025977611541748, avg_ce_loss: 2.154601573944092, avg_contrast_loss: 1.8713762760162354
avg_loss: 4.018465518951416, avg_ce_loss: 2.151062488555908, avg_contrast_loss: 1.867403268814087
avg_loss: 5.675038814544678, avg_ce_loss: 2.6338553428649902, avg_contrast_loss: 3.0411834716796875
avg_loss: 4.3578877449035645, avg_ce_loss: 2.376115322113037, avg_contrast_loss: 1.9817721843719482
avg_loss: 4.469743251800537, avg_ce_loss: 2.4199395179748535, avg_contrast_loss: 2.0498037338256836
avg_loss: 4.296668529510498, avg_ce_loss: 2.343229293823242, avg_contrast_loss: 1.9534392356872559
avg_loss: 4.339600086212158, avg_ce_loss: 2.369385242462158, avg_contrast_loss: 1.970215082168579
avg_loss: 4.195159435272217, avg_ce_loss: 2.287843942642212, avg_contrast_loss: 1.9073156118392944
avg_loss: 4.174962520599365, avg_ce_loss: 2.276458501815796, avg_contrast_loss: 1.8985042572021484
avg_loss: 4.211572647094727, avg_ce_loss: 2.296518564224243, avg_contrast_loss: 1.915054202079773
avg_loss: 4.202029228210449, avg_ce_loss: 2.291241407394409, avg_contrast_loss: 1.910787582397461
avg_loss: 4.158266544342041, avg_ce_loss: 2.2673394680023193, avg_contrast_loss: 1.8909270763397217
avg_loss: 4.215865135192871, avg_ce_loss: 2.2989020347595215, avg_contrast_loss: 1.9169633388519287
avg_loss: 4.2410783767700195, avg_ce_loss: 2.3127591609954834, avg_contrast_loss: 1.928318977355957
avg_loss: 4.267996788024902, avg_ce_loss: 2.3276000022888184, avg_contrast_loss: 1.9403966665267944
avg_loss: 4.249238967895508, avg_ce_loss: 2.317765712738037, avg_contrast_loss: 1.9314734935760498
avg_loss: 4.222072124481201, avg_ce_loss: 2.303027629852295, avg_contrast_loss: 1.9190442562103271
avg_loss: 4.198182106018066, avg_ce_loss: 2.2896337509155273, avg_contrast_loss: 1.90854811668396
avg_loss: 4.248164653778076, avg_ce_loss: 2.3167290687561035, avg_contrast_loss: 1.9314355850219727
avg_loss: 4.295853614807129, avg_ce_loss: 2.3382558822631836, avg_contrast_loss: 1.957598090171814
avg_loss: 4.31036901473999, avg_ce_loss: 2.3514041900634766, avg_contrast_loss: 1.9589647054672241
avg_loss: 4.40399694442749, avg_ce_loss: 2.403719425201416, avg_contrast_loss: 2.0002779960632324
avg_loss: 4.393918514251709, avg_ce_loss: 2.3973288536071777, avg_contrast_loss: 1.9965896606445312
avg_loss: 4.446786880493164, avg_ce_loss: 2.4226267337799072, avg_contrast_loss: 2.024160146713257
avg_loss: 4.5871148109436035, avg_ce_loss: 2.48121976852417, avg_contrast_loss: 2.1058952808380127
avg_loss: 4.398252487182617, avg_ce_loss: 2.399292469024658, avg_contrast_loss: 1.998960256576538
avg_loss: 4.231632232666016, avg_ce_loss: 2.3074588775634766, avg_contrast_loss: 1.924173355102539
avg_loss: 4.279524803161621, avg_ce_loss: 2.263956069946289, avg_contrast_loss: 2.015568733215332
avg_loss: 4.143077850341797, avg_ce_loss: 2.217587947845459, avg_contrast_loss: 1.9254897832870483
avg_loss: 4.122864723205566, avg_ce_loss: 2.2071640491485596, avg_contrast_loss: 1.9157003164291382
avg_loss: 4.047330856323242, avg_ce_loss: 2.1668357849121094, avg_contrast_loss: 1.880495309829712
avg_loss: 4.035651206970215, avg_ce_loss: 2.159233808517456, avg_contrast_loss: 1.8764171600341797
avg_loss: 4.024266242980957, avg_ce_loss: 2.153541088104248, avg_contrast_loss: 1.8707249164581299
avg_loss: 4.014859199523926, avg_ce_loss: 2.148606061935425, avg_contrast_loss: 1.8662532567977905
avg_loss: 4.018919944763184, avg_ce_loss: 2.150844097137451, avg_contrast_loss: 1.8680757284164429
device0 finished!
device0: epoch0 finished, waiting for sync...
EP_train_validate:0: 100%|| 32/32 [04:40<00:00,  8.75s/it]


Inside validate(), local val_acc: 0.00


Not convreged...
device: 0
epoch: 0
val_acc: 0.0
val_ce: 1.7082055110931396
EP_train_inference:1:  19%|| 290/1563 [23:53<1:44:46,  4.94s/it]


avg_loss: 4.098583221435547, avg_ce_loss: 2.194399356842041, avg_contrast_loss: 1.9041837453842163
avg_loss: 4.012229919433594, avg_ce_loss: 2.1476285457611084, avg_contrast_loss: 1.8646011352539062
avg_loss: 3.928959608078003, avg_ce_loss: 2.1034207344055176, avg_contrast_loss: 1.8255386352539062
avg_loss: 4.071201801300049, avg_ce_loss: 2.179518699645996, avg_contrast_loss: 1.8916831016540527
avg_loss: 4.017067909240723, avg_ce_loss: 2.150383472442627, avg_contrast_loss: 1.8666841983795166
avg_loss: 4.057651996612549, avg_ce_loss: 2.1722159385681152, avg_contrast_loss: 1.8854360580444336
avg_loss: 4.040050029754639, avg_ce_loss: 2.1629481315612793, avg_contrast_loss: 1.8771017789840698
avg_loss: 4.034389495849609, avg_ce_loss: 2.159369945526123, avg_contrast_loss: 1.8750197887420654
avg_loss: 3.967797040939331, avg_ce_loss: 2.124027729034424, avg_contrast_loss: 1.8437695503234863
avg_loss: 4.058646202087402, avg_ce_loss: 2.173211097717285, avg_contrast_loss: 1.8854354619979858
avg_loss: 4.0485992431640625, avg_ce_loss: 2.167327404022217, avg_contrast_loss: 1.8812721967697144
avg_loss: 4.025459289550781, avg_ce_loss: 2.154603958129883, avg_contrast_loss: 1.8708553314208984
avg_loss: 3.976390838623047, avg_ce_loss: 2.1284518241882324, avg_contrast_loss: 1.8479394912719727
avg_loss: 4.0255045890808105, avg_ce_loss: 2.154646396636963, avg_contrast_loss: 1.8708579540252686
avg_loss: 4.02027702331543, avg_ce_loss: 2.1514909267425537, avg_contrast_loss: 1.8687865734100342
avg_loss: 4.541679382324219, avg_ce_loss: 2.486131429672241, avg_contrast_loss: 2.0555479526519775
avg_loss: 4.403776168823242, avg_ce_loss: 2.4036145210266113, avg_contrast_loss: 2.0001614093780518
avg_loss: 4.403652191162109, avg_ce_loss: 2.4036498069763184, avg_contrast_loss: 2.00000262260437
