EP_train_inference:0:  15%|| 310/2084 [18:55<1:46:04,  3.59s/it]
avg_loss: 4.230166435241699, avg_ce_loss: 2.2596614360809326, avg_contrast_loss: 1.970504879951477
avg_loss: 4.172306060791016, avg_ce_loss: 2.2285962104797363, avg_contrast_loss: 1.9437098503112793
avg_loss: 4.1642303466796875, avg_ce_loss: 2.224597930908203, avg_contrast_loss: 1.9396321773529053
avg_loss: 4.170365333557129, avg_ce_loss: 2.228384256362915, avg_contrast_loss: 1.9419809579849243
avg_loss: 4.181888580322266, avg_ce_loss: 2.234575033187866, avg_contrast_loss: 1.9473135471343994
avg_loss: 4.184216499328613, avg_ce_loss: 2.2349088191986084, avg_contrast_loss: 1.9493082761764526
avg_loss: 4.232399940490723, avg_ce_loss: 2.261983871459961, avg_contrast_loss: 1.9704161882400513
avg_loss: 4.185614109039307, avg_ce_loss: 2.2349157333374023, avg_contrast_loss: 1.9506983757019043
avg_loss: 4.168737411499023, avg_ce_loss: 2.2278871536254883, avg_contrast_loss: 1.9408502578735352
avg_loss: 4.175447940826416, avg_ce_loss: 2.23142671585083, avg_contrast_loss: 1.944021224975586
avg_loss: 4.272854804992676, avg_ce_loss: 2.2832107543945312, avg_contrast_loss: 1.9896440505981445
avg_loss: 4.1749114990234375, avg_ce_loss: 2.231252670288086, avg_contrast_loss: 1.9436585903167725
avg_loss: 4.227270126342773, avg_ce_loss: 2.259464979171753, avg_contrast_loss: 1.9678053855895996
avg_loss: 4.232975959777832, avg_ce_loss: 2.2625069618225098, avg_contrast_loss: 1.9704686403274536
avg_loss: 4.14994478225708, avg_ce_loss: 2.217926025390625, avg_contrast_loss: 1.932018756866455
avg_loss: 4.187725067138672, avg_ce_loss: 2.2378993034362793, avg_contrast_loss: 1.9498260021209717
avg_loss: 4.244418621063232, avg_ce_loss: 2.2681288719177246, avg_contrast_loss: 1.9762895107269287
avg_loss: 4.175189018249512, avg_ce_loss: 2.2308287620544434, avg_contrast_loss: 1.9443600177764893
avg_loss: 4.1741228103637695, avg_ce_loss: 2.2302370071411133, avg_contrast_loss: 1.9438860416412354
avg_loss: 4.367802619934082, avg_ce_loss: 2.250509262084961, avg_contrast_loss: 2.117293119430542
avg_loss: 11.532829284667969, avg_ce_loss: 5.917895793914795, avg_contrast_loss: 5.614933967590332
avg_loss: 4.3117547035217285, avg_ce_loss: 2.3054585456848145, avg_contrast_loss: 2.006296157836914
avg_loss: 5.658753395080566, avg_ce_loss: 2.981257200241089, avg_contrast_loss: 2.6774964332580566
avg_loss: 4.811427116394043, avg_ce_loss: 2.4922778606414795, avg_contrast_loss: 2.3191494941711426
avg_loss: 4.248706817626953, avg_ce_loss: 2.2735061645507812, avg_contrast_loss: 1.9752004146575928
avg_loss: 5.610080242156982, avg_ce_loss: 2.686067581176758, avg_contrast_loss: 2.9240126609802246
avg_loss: 4.96970796585083, avg_ce_loss: 2.4996681213378906, avg_contrast_loss: 2.4700398445129395
avg_loss: 4.820642471313477, avg_ce_loss: 2.446338176727295, avg_contrast_loss: 2.3743042945861816
avg_loss: 4.491753101348877, avg_ce_loss: 2.389098882675171, avg_contrast_loss: 2.102654457092285
avg_loss: 4.584606170654297, avg_ce_loss: 2.3755483627319336, avg_contrast_loss: 2.209057331085205
avg_loss: 4.8866095542907715, avg_ce_loss: 2.6496987342834473, avg_contrast_loss: 2.236910581588745
avg_loss: 4.701808929443359, avg_ce_loss: 2.6257925033569336, avg_contrast_loss: 2.076016426086426
avg_loss: 4.585798263549805, avg_ce_loss: 2.486860513687134, avg_contrast_loss: 2.098937511444092
avg_loss: 4.584158897399902, avg_ce_loss: 2.4785938262939453, avg_contrast_loss: 2.105565071105957
avg_loss: 4.445732593536377, avg_ce_loss: 2.4085440635681152, avg_contrast_loss: 2.037188768386841
avg_loss: 4.44174337387085, avg_ce_loss: 2.4097251892089844, avg_contrast_loss: 2.0320184230804443
avg_loss: 4.438828468322754, avg_ce_loss: 2.408639669418335, avg_contrast_loss: 2.03018856048584
avg_loss: 4.426721572875977, avg_ce_loss: 2.4018654823303223, avg_contrast_loss: 2.0248560905456543
avg_loss: 4.433457374572754, avg_ce_loss: 2.4072892665863037, avg_contrast_loss: 2.0261683464050293
avg_loss: 4.426911354064941, avg_ce_loss: 2.4086544513702393, avg_contrast_loss: 2.0182571411132812
avg_loss: 4.426882743835449, avg_ce_loss: 2.4104909896850586, avg_contrast_loss: 2.0163917541503906
avg_loss: 4.4227495193481445, avg_ce_loss: 2.40925669670105, avg_contrast_loss: 2.013493061065674
avg_loss: 4.424375534057617, avg_ce_loss: 2.4129085540771484, avg_contrast_loss: 2.0114669799804688
avg_loss: 4.419171333312988, avg_ce_loss: 2.4082789421081543, avg_contrast_loss: 2.010892391204834
avg_loss: 4.415366172790527, avg_ce_loss: 2.4067654609680176, avg_contrast_loss: 2.008601188659668
avg_loss: 4.41940975189209, avg_ce_loss: 2.4110212326049805, avg_contrast_loss: 2.0083889961242676
avg_loss: 4.41322135925293, avg_ce_loss: 2.40559720993042, avg_contrast_loss: 2.0076239109039307
avg_loss: 4.415287971496582, avg_ce_loss: 2.4095113277435303, avg_contrast_loss: 2.0057764053344727
avg_loss: 4.418322563171387, avg_ce_loss: 2.4119653701782227, avg_contrast_loss: 2.0063576698303223
avg_loss: 4.414833068847656, avg_ce_loss: 2.409389019012451, avg_contrast_loss: 2.005443572998047
avg_loss: 4.410371780395508, avg_ce_loss: 2.405149459838867, avg_contrast_loss: 2.0052218437194824
avg_loss: 4.411581993103027, avg_ce_loss: 2.4065370559692383, avg_contrast_loss: 2.005045175552368
avg_loss: 4.415036678314209, avg_ce_loss: 2.4099671840667725, avg_contrast_loss: 2.0050692558288574
avg_loss: 4.410323143005371, avg_ce_loss: 2.4057552814483643, avg_contrast_loss: 2.0045676231384277
